Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
ERR10445546_1	(0.0, 0.05009724759827901)	(1.0, 0.025048623799139504)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0004911494862576373)	(18.0, 0.002455747431288187)	(19.0, 0.0039291958900610985)	(20.0, 0.002455747431288187)	(21.0, 0.002455747431288187)	(22.0, 0.006384943321349286)	(23.0, 0.010805288697668024)	(24.0, 0.014734484587729121)	(25.0, 0.01866368047779022)	(26.0, 0.024557474312881872)	(27.0, 0.04027425787312627)	(28.0, 0.059920237323431755)	(29.0, 0.07514587139741852)	(30.0, 0.11099978389422605)	(31.0, 0.14390679947348775)	(32.0, 0.17386691813520364)	(33.0, 0.22985795956857427)	(34.0, 0.2956719907270977)	(35.0, 0.3649240682894246)	(36.0, 0.44203453763187367)	(37.0, 0.5520520225535844)	(38.0, 0.6645252549065833)	(39.0, 0.7711046934244907)	(40.0, 0.9317105754307381)	(41.0, 1.141922555549007)	(42.0, 1.3452584428596688)	(43.0, 1.5780632993457888)	(44.0, 1.870297243669083)	(45.0, 2.198385100489185)	(46.0, 2.6016188287067052)	(47.0, 3.0858922221567355)	(48.0, 3.6251743580676212)	(49.0, 4.141372468124398)	(50.0, 4.62761045951946)	(51.0, 5.1379147757411445)	(52.0, 5.580931612345533)	(53.0, 5.866780613347478)	(54.0, 5.999882124123298)	(55.0, 6.047523624290289)	(56.0, 5.968939706489067)	(57.0, 5.663935875523074)	(58.0, 5.261193296791811)	(59.0, 4.7675880631028855)	(60.0, 4.122708787646609)	(61.0, 3.4586746822262824)	(62.0, 2.8525962161843577)	(63.0, 2.2651814306202236)	(64.0, 1.7116559596078662)	(65.0, 1.2873028034812675)	(66.0, 0.9233610341643583)	(67.0, 0.6291624918960335)	(68.0, 0.4430168366043889)	(69.0, 0.28339325357065676)	(70.0, 0.16895542327262725)	(71.0, 0.10805288697668022)	(72.0, 0.06679633013103868)	(73.0, 0.044694603249445)	(74.0, 0.029960118661715877)	(75.0, 0.016207933046502036)	(76.0, 0.010314139211410386)	(77.0, 0.008840690752637471)	(78.0, 0.006384943321349286)	(79.0, 0.0039291958900610985)	(80.0, 0.0034380464038034613)	(81.0, 0.0014734484587729123)	(82.0, 0.0004911494862576373)	(83.0, 0.0004911494862576373)	(84.0, 0.0014734484587729123)	(85.0, 0.0009822989725152746)	(86.0, 0.0009822989725152746)	(87.0, 0.0019645979450305493)	(88.0, 0.0014734484587729123)	(89.0, 0.0004911494862576373)	(90.0, 0.0)	(91.0, 0.0004911494862576373)	(92.0, 0.0014734484587729123)	(93.0, 0.0009822989725152746)	(94.0, 0.0)	(95.0, 0.0009822989725152746)	(96.0, 0.0014734484587729123)	(97.0, 0.0019645979450305493)	(98.0, 0.004420345376318736)	(99.0, 0.0039291958900610985)	(100.0, 0.0014734484587729123)
ERR10445546_2	(0.0, 0.05010487638341037)	(1.0, 0.025052438191705186)	(2.0, 0.0)	(3.0, 0.0004912242782687292)	(4.0, 0.0009824485565374584)	(5.0, 0.0004912242782687292)	(6.0, 0.0)	(7.0, 0.0004912242782687292)	(8.0, 0.0004912242782687292)	(9.0, 0.0004912242782687292)	(10.0, 0.0004912242782687292)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0009824485565374584)	(14.0, 0.0009824485565374584)	(15.0, 0.0)	(16.0, 0.0004912242782687292)	(17.0, 0.0009824485565374584)	(18.0, 0.0034385699478811037)	(19.0, 0.0058946913392247495)	(20.0, 0.004421018504418562)	(21.0, 0.004421018504418562)	(22.0, 0.009333261287105854)	(23.0, 0.01228060695671823)	(24.0, 0.013263055513255687)	(25.0, 0.015719176904599334)	(26.0, 0.02406998963516773)	(27.0, 0.04175406365284198)	(28.0, 0.059929361948784954)	(29.0, 0.08645547297529632)	(30.0, 0.11101668688873279)	(31.0, 0.13754279791524415)	(32.0, 0.18027931012462362)	(33.0, 0.2343139807341838)	(34.0, 0.30554150108314954)	(35.0, 0.36596208731020324)	(36.0, 0.43571593482436277)	(37.0, 0.5526273130523204)	(38.0, 0.64546870164511)	(39.0, 0.7535380428642305)	(40.0, 0.9092561390754176)	(41.0, 1.1170440087830902)	(42.0, 1.358726353691305)	(43.0, 1.5655317748424398)	(44.0, 1.8091790168637294)	(45.0, 2.191351505356801)	(46.0, 2.635418252911732)	(47.0, 3.0907831588668437)	(48.0, 3.554498877552524)	(49.0, 3.995618279437843)	(50.0, 4.507473977393859)	(51.0, 4.995259685714707)	(52.0, 5.485501515426899)	(53.0, 5.853428499850176)	(54.0, 6.1069002274368405)	(55.0, 6.159461225211595)	(56.0, 5.914831534633768)	(57.0, 5.735043448787413)	(58.0, 5.378414622764315)	(59.0, 4.818418945537965)	(60.0, 4.164108206884017)	(61.0, 3.476885441586065)	(62.0, 2.8938022232810834)	(63.0, 2.316122472037058)	(64.0, 1.715355179714402)	(65.0, 1.249674563915647)	(66.0, 0.914168381858105)	(67.0, 0.6213987120099425)	(68.0, 0.4376808319374377)	(69.0, 0.2996468097439248)	(70.0, 0.20484052403806005)	(71.0, 0.13606912508043797)	(72.0, 0.08006955735780286)	(73.0, 0.05108732493994783)	(74.0, 0.03487692375707977)	(75.0, 0.021122643965555354)	(76.0, 0.015719176904599334)	(77.0, 0.014245504069793146)	(78.0, 0.01080693412191204)	(79.0, 0.008350812730568395)	(80.0, 0.00540346706095602)	(81.0, 0.0024561213913436458)	(82.0, 0.001964897113074917)	(83.0, 0.0034385699478811037)	(84.0, 0.001964897113074917)	(85.0, 0.0009824485565374584)	(86.0, 0.0009824485565374584)	(87.0, 0.001964897113074917)	(88.0, 0.001964897113074917)	(89.0, 0.0014736728348061874)	(90.0, 0.0024561213913436458)	(91.0, 0.0029473456696123747)	(92.0, 0.0029473456696123747)	(93.0, 0.0014736728348061874)	(94.0, 0.0024561213913436458)	(95.0, 0.001964897113074917)	(96.0, 0.0024561213913436458)	(97.0, 0.0049122427826872915)	(98.0, 0.0029473456696123747)	(99.0, 0.0009824485565374584)	(100.0, 0.018175298295942978)
ERR10445547_1	(0.0, 0.04238374041437499)	(1.0, 0.021191870207187494)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0004928341908648254)	(19.0, 0.0014785025725944762)	(20.0, 0.0024641709543241274)	(21.0, 0.004928341908648255)	(22.0, 0.0073925128629723814)	(23.0, 0.01182802058075581)	(24.0, 0.01922053344372819)	(25.0, 0.021191870207187494)	(26.0, 0.02464170954324127)	(27.0, 0.034005559169672954)	(28.0, 0.05716876614031975)	(29.0, 0.09758116979123543)	(30.0, 0.1217300451436119)	(31.0, 0.13848640763301595)	(32.0, 0.17939164547479647)	(33.0, 0.22423955684349556)	(34.0, 0.2759871468843022)	(35.0, 0.34596960198710747)	(36.0, 0.45636446074082837)	(37.0, 0.5569026356772527)	(38.0, 0.6534981370867585)	(39.0, 0.7865633686202614)	(40.0, 0.9363849626431683)	(41.0, 1.1295759654621798)	(42.0, 1.3572653616417292)	(43.0, 1.6125534725097086)	(44.0, 1.90578981607428)	(45.0, 2.253237920633982)	(46.0, 2.61251404577444)	(47.0, 3.006288564275435)	(48.0, 3.5380566562185822)	(49.0, 4.085102608078539)	(50.0, 4.572022788652986)	(51.0, 5.114633232795159)	(52.0, 5.52122144025864)	(53.0, 5.7967157529520765)	(54.0, 6.021940978177303)	(55.0, 6.041654345811895)	(56.0, 5.960829538510064)	(57.0, 5.739546986811757)	(58.0, 5.296981883415143)	(59.0, 4.722830051057622)	(60.0, 4.125515011729454)	(61.0, 3.496165749995072)	(62.0, 2.845624618053502)	(63.0, 2.2941431584757623)	(64.0, 1.7604037297691566)	(65.0, 1.2744692175764385)	(66.0, 0.9151930924359808)	(67.0, 0.6308277643069766)	(68.0, 0.45143611883218004)	(69.0, 0.33463441559721646)	(70.0, 0.20945453111755083)	(71.0, 0.11926587418928775)	(72.0, 0.07293946024799416)	(73.0, 0.04632641394129359)	(74.0, 0.027598714688430226)	(75.0, 0.016756362489404063)	(76.0, 0.013306523153350288)	(77.0, 0.00985668381729651)	(78.0, 0.008378181244702031)	(79.0, 0.003942673526918603)	(80.0, 0.0009856683817296508)	(81.0, 0.0009856683817296508)	(82.0, 0.0014785025725944762)	(83.0, 0.0019713367634593016)	(84.0, 0.0014785025725944762)	(85.0, 0.0009856683817296508)	(86.0, 0.0009856683817296508)	(87.0, 0.0009856683817296508)	(88.0, 0.0019713367634593016)	(89.0, 0.0024641709543241274)	(90.0, 0.0009856683817296508)	(91.0, 0.0004928341908648254)	(92.0, 0.0014785025725944762)	(93.0, 0.0014785025725944762)	(94.0, 0.0014785025725944762)	(95.0, 0.0024641709543241274)	(96.0, 0.0019713367634593016)	(97.0, 0.0014785025725944762)	(98.0, 0.0024641709543241274)	(99.0, 0.0029570051451889524)	(100.0, 0.0019713367634593016)
ERR10445547_2	(0.0, 0.041401540728765694)	(1.0, 0.020700770364382847)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0004928754848662582)	(6.0, 0.0004928754848662582)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0004928754848662582)	(11.0, 0.0004928754848662582)	(12.0, 0.0004928754848662582)	(13.0, 0.0014786264545987747)	(14.0, 0.0014786264545987747)	(15.0, 0.0014786264545987747)	(16.0, 0.0009857509697325164)	(17.0, 0.0004928754848662582)	(18.0, 0.0009857509697325164)	(19.0, 0.0014786264545987747)	(20.0, 0.0039430038789300655)	(21.0, 0.005914505818395099)	(22.0, 0.007393132272993874)	(23.0, 0.013307638091388971)	(24.0, 0.02020789487951659)	(25.0, 0.02168652133411536)	(26.0, 0.024643774243312908)	(27.0, 0.0448516691228295)	(28.0, 0.07048119433587492)	(29.0, 0.0931534666397228)	(30.0, 0.11779724088303571)	(31.0, 0.1404695131868836)	(32.0, 0.1843354313399806)	(33.0, 0.23510160628120516)	(34.0, 0.29473953995002244)	(35.0, 0.3681779871950949)	(36.0, 0.4258444189244471)	(37.0, 0.5214622629885013)	(38.0, 0.6742536632970413)	(39.0, 0.7945152816044083)	(40.0, 0.908369518608514)	(41.0, 1.099112331251756)	(42.0, 1.372165349867663)	(43.0, 1.625996224573786)	(44.0, 1.8813057257345076)	(45.0, 2.2361760748382133)	(46.0, 2.6147044472155)	(47.0, 3.0839219088081777)	(48.0, 3.6098200511604754)	(49.0, 4.083966267601816)	(50.0, 4.592120892498928)	(51.0, 5.08450350188032)	(52.0, 5.5202054305020924)	(53.0, 5.813959219482382)	(54.0, 5.93027783391082)	(55.0, 6.019488296671612)	(56.0, 5.9721722501244505)	(57.0, 5.678911336629027)	(58.0, 5.30580459458527)	(59.0, 4.787792459990833)	(60.0, 4.11501742314839)	(61.0, 3.484629678004446)	(62.0, 2.857692061254565)	(63.0, 2.2593412226269276)	(64.0, 1.7314715783351653)	(65.0, 1.2701401245003474)	(66.0, 0.9137911489420428)	(67.0, 0.6427096322656007)	(68.0, 0.4450665628342312)	(69.0, 0.30854005352627767)	(70.0, 0.20207894879516589)	(71.0, 0.11927586733763448)	(72.0, 0.07146694530560745)	(73.0, 0.04386591815309698)	(74.0, 0.029572529091975497)	(75.0, 0.024150898758446657)	(76.0, 0.016264891000586524)	(77.0, 0.010350385182191424)	(78.0, 0.00542163033352884)	(79.0, 0.0049287548486625825)	(80.0, 0.006900256788127616)	(81.0, 0.006407381303261357)	(82.0, 0.004435879363796324)	(83.0, 0.0029572529091975493)	(84.0, 0.0029572529091975493)	(85.0, 0.0019715019394650327)	(86.0, 0.0009857509697325164)	(87.0, 0.0009857509697325164)	(88.0, 0.0029572529091975493)	(89.0, 0.00542163033352884)	(90.0, 0.0049287548486625825)	(91.0, 0.003450128394063808)	(92.0, 0.004435879363796324)	(93.0, 0.00542163033352884)	(94.0, 0.0039430038789300655)	(95.0, 0.0039430038789300655)	(96.0, 0.0024643774243312913)	(97.0, 0.0039430038789300655)	(98.0, 0.004435879363796324)	(99.0, 0.0009857509697325164)	(100.0, 0.014293389061121488)
ERR10445548_1	(0.0, 0.040393093766163395)	(1.0, 0.020196546883081697)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0009851974089308145)	(18.0, 0.0014777961133962219)	(19.0, 0.0009851974089308145)	(20.0, 0.0009851974089308145)	(21.0, 0.0029555922267924437)	(22.0, 0.007881579271446516)	(23.0, 0.009851974089308145)	(24.0, 0.01083717149823896)	(25.0, 0.01970394817861629)	(26.0, 0.028570724858993618)	(27.0, 0.0408856924706288)	(28.0, 0.05861924583138346)	(29.0, 0.09310115514396197)	(30.0, 0.135464643727987)	(31.0, 0.1556611906110687)	(32.0, 0.19408388955937045)	(33.0, 0.23496958202999926)	(34.0, 0.30984458510874113)	(35.0, 0.39654195709465284)	(36.0, 0.4802837368537721)	(37.0, 0.5847146622004384)	(38.0, 0.6876677914337086)	(39.0, 0.8157434545947145)	(40.0, 0.9832270141129529)	(41.0, 1.1856850816482352)	(42.0, 1.3842023595477944)	(43.0, 1.6206497376911897)	(44.0, 1.9477352774562202)	(45.0, 2.2989581537400556)	(46.0, 2.72751902662496)	(47.0, 3.1688874658259647)	(48.0, 3.67133814438068)	(49.0, 4.206792936134578)	(50.0, 4.668357922218664)	(51.0, 5.046181128543632)	(52.0, 5.330410581020172)	(53.0, 5.699367010664762)	(54.0, 5.984089061845768)	(55.0, 6.0308859387699805)	(56.0, 5.924977217309919)	(57.0, 5.709711583458535)	(58.0, 5.2545503805325)	(59.0, 4.656535553311495)	(60.0, 4.046205758478855)	(61.0, 3.406812640082756)	(62.0, 2.7802270880027584)	(63.0, 2.2408315066131377)	(64.0, 1.7029137213369128)	(65.0, 1.2157336026206251)	(66.0, 0.8901258589689909)	(67.0, 0.6344671313514446)	(68.0, 0.43841284697421246)	(69.0, 0.2857072485899362)	(70.0, 0.18570971158345856)	(71.0, 0.11970148518509395)	(72.0, 0.07635279919213812)	(73.0, 0.04975246915100613)	(74.0, 0.03054111967685525)	(75.0, 0.012314967611635181)	(76.0, 0.006896381862515701)	(77.0, 0.006896381862515701)	(78.0, 0.004925987044654073)	(79.0, 0.004925987044654073)	(80.0, 0.003940789635723258)	(81.0, 0.001970394817861629)	(82.0, 0.0009851974089308145)	(83.0, 0.0004925987044654072)	(84.0, 0.0004925987044654072)	(85.0, 0.0004925987044654072)	(86.0, 0.0)	(87.0, 0.0004925987044654072)	(88.0, 0.0009851974089308145)	(89.0, 0.0004925987044654072)	(90.0, 0.0004925987044654072)	(91.0, 0.0009851974089308145)	(92.0, 0.0009851974089308145)	(93.0, 0.0014777961133962219)	(94.0, 0.0034481909312578506)	(95.0, 0.0029555922267924437)	(96.0, 0.0009851974089308145)	(97.0, 0.0014777961133962219)	(98.0, 0.001970394817861629)	(99.0, 0.001970394817861629)	(100.0, 0.0009851974089308145)
ERR10445548_2	(0.0, 0.04039826780110258)	(1.0, 0.02019913390055129)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0004926618024524705)	(7.0, 0.0004926618024524705)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0004926618024524705)	(11.0, 0.000985323604904941)	(12.0, 0.001970647209809882)	(13.0, 0.002463309012262352)	(14.0, 0.0014779854073574113)	(15.0, 0.000985323604904941)	(16.0, 0.0014779854073574113)	(17.0, 0.0014779854073574113)	(18.0, 0.0014779854073574113)	(19.0, 0.0029559708147148226)	(20.0, 0.005911941629429645)	(21.0, 0.006897265234334586)	(22.0, 0.012316545061311763)	(23.0, 0.016750501283383994)	(24.0, 0.014779854073574114)	(25.0, 0.0216771193079087)	(26.0, 0.0300523699496007)	(27.0, 0.045324885825627284)	(28.0, 0.06946531414579833)	(29.0, 0.09754703688558915)	(30.0, 0.12316545061311761)	(31.0, 0.15863710038969547)	(32.0, 0.19016745574665359)	(33.0, 0.24189694500416298)	(34.0, 0.3281127604333453)	(35.0, 0.4069386488257406)	(36.0, 0.4739406539592766)	(37.0, 0.559171145783554)	(38.0, 0.6867705526187439)	(39.0, 0.8360470787618424)	(40.0, 1.0005961207809675)	(41.0, 1.1749983988491421)	(42.0, 1.3932475773355866)	(43.0, 1.6523876854255861)	(44.0, 1.9346828982308515)	(45.0, 2.2687076002936264)	(46.0, 2.700772001044443)	(47.0, 3.1298804309805446)	(48.0, 3.5786953330147453)	(49.0, 4.12013065391001)	(50.0, 4.610821809152671)	(51.0, 5.014804487163697)	(52.0, 5.405485296508506)	(53.0, 5.76118711787919)	(54.0, 5.996679459451471)	(55.0, 6.03855571265993)	(56.0, 5.915390262046813)	(57.0, 5.650830874129836)	(58.0, 5.145359864813601)	(59.0, 4.617226412584554)	(60.0, 4.141315111415467)	(61.0, 3.4865675759561334)	(62.0, 2.8268934224722755)	(63.0, 2.1859404174816115)	(64.0, 1.6203646682661752)	(65.0, 1.267126155907754)	(66.0, 0.9464033225111957)	(67.0, 0.6572108444715956)	(68.0, 0.4414249749974135)	(69.0, 0.3024943467058169)	(70.0, 0.2034693244128703)	(71.0, 0.12464343602047502)	(72.0, 0.07882588839239527)	(73.0, 0.04384690041826987)	(74.0, 0.028081722739790815)	(75.0, 0.019706472098098816)	(76.0, 0.011331221456406821)	(77.0, 0.008867912444144468)	(78.0, 0.005911941629429645)	(79.0, 0.006404603431882116)	(80.0, 0.005911941629429645)	(81.0, 0.003941294419619764)	(82.0, 0.0029559708147148226)	(83.0, 0.001970647209809882)	(84.0, 0.0029559708147148226)	(85.0, 0.003448632617167293)	(86.0, 0.002463309012262352)	(87.0, 0.002463309012262352)	(88.0, 0.002463309012262352)	(89.0, 0.0029559708147148226)	(90.0, 0.001970647209809882)	(91.0, 0.0004926618024524705)	(92.0, 0.002463309012262352)	(93.0, 0.003941294419619764)	(94.0, 0.003448632617167293)	(95.0, 0.003941294419619764)	(96.0, 0.003448632617167293)	(97.0, 0.003448632617167293)	(98.0, 0.0029559708147148226)	(99.0, 0.0029559708147148226)	(100.0, 0.01921381029564635)
ERR10445549_1	(0.0, 0.07341245564664138)	(1.0, 0.03670622782332069)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0009788327419552184)	(19.0, 0.001957665483910437)	(20.0, 0.001957665483910437)	(21.0, 0.0029364982258656552)	(22.0, 0.004894163709776092)	(23.0, 0.0058729964517313105)	(24.0, 0.01223540927444023)	(25.0, 0.019576654839104368)	(26.0, 0.028386149516701334)	(27.0, 0.046494555242872875)	(28.0, 0.07585953750152942)	(29.0, 0.10179860516334271)	(30.0, 0.12969533830906643)	(31.0, 0.1595497369387006)	(32.0, 0.1859782209714915)	(33.0, 0.22659977976263304)	(34.0, 0.30050165178025207)	(35.0, 0.3988743423467515)	(36.0, 0.49088462009054207)	(37.0, 0.5892573106570415)	(38.0, 0.7057384069497125)	(39.0, 0.8320078306619356)	(40.0, 0.975406827358375)	(41.0, 1.1858558668787471)	(42.0, 1.4418206289000366)	(43.0, 1.6493331701945428)	(44.0, 1.8504832986663402)	(45.0, 2.230759818915943)	(46.0, 2.6731922182797017)	(47.0, 3.0701088951425426)	(48.0, 3.5751865899914352)	(49.0, 4.119417594518537)	(50.0, 4.65728618622293)	(51.0, 5.106080998409396)	(52.0, 5.514254251804722)	(53.0, 5.798115746971736)	(54.0, 5.958644316652392)	(55.0, 6.054569925364003)	(56.0, 5.913128594151475)	(57.0, 5.643949590113789)	(58.0, 5.27933439373547)	(59.0, 4.699375994127004)	(60.0, 4.031812064113545)	(61.0, 3.412700354826869)	(62.0, 2.789183898201395)	(63.0, 2.214119662302704)	(64.0, 1.6860393980178638)	(65.0, 1.2470329132509483)	(66.0, 0.918145111953995)	(67.0, 0.6352624495289367)	(68.0, 0.4204086626697663)	(69.0, 0.2941392389575431)	(70.0, 0.18793588645540193)	(71.0, 0.11550226355071577)	(72.0, 0.0743912883885966)	(73.0, 0.03768506056527591)	(74.0, 0.024960234919858066)	(75.0, 0.015661323871283495)	(76.0, 0.010277743790529793)	(77.0, 0.009298911048574575)	(78.0, 0.007830661935641747)	(79.0, 0.004894163709776092)	(80.0, 0.004404747338798483)	(81.0, 0.003915330967820874)	(82.0, 0.002447081854888046)	(83.0, 0.0009788327419552184)	(84.0, 0.0009788327419552184)	(85.0, 0.002447081854888046)	(86.0, 0.001957665483910437)	(87.0, 0.0004894163709776092)	(88.0, 0.0004894163709776092)	(89.0, 0.0004894163709776092)	(90.0, 0.0004894163709776092)	(91.0, 0.0009788327419552184)	(92.0, 0.0014682491129328276)	(93.0, 0.0009788327419552184)	(94.0, 0.0004894163709776092)	(95.0, 0.001957665483910437)	(96.0, 0.0014682491129328276)	(97.0, 0.0009788327419552184)	(98.0, 0.0029364982258656552)	(99.0, 0.0029364982258656552)	(100.0, 0.0009788327419552184)
ERR10445549_2	(0.0, 0.07440876848592842)	(1.0, 0.03720438424296421)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0004895313716179501)	(11.0, 0.0009790627432359003)	(12.0, 0.0004895313716179501)	(13.0, 0.0004895313716179501)	(14.0, 0.0004895313716179501)	(15.0, 0.0014685941148538505)	(16.0, 0.002937188229707701)	(17.0, 0.0014685941148538505)	(18.0, 0.0014685941148538505)	(19.0, 0.004405782344561552)	(20.0, 0.003916250972943601)	(21.0, 0.003426719601325651)	(22.0, 0.005384845087797452)	(23.0, 0.007832501945887202)	(24.0, 0.014196409776920552)	(25.0, 0.020070786236335954)	(26.0, 0.026924225438987256)	(27.0, 0.042099697959143714)	(28.0, 0.07489829985754637)	(29.0, 0.11259221547212854)	(30.0, 0.13119440759361065)	(31.0, 0.14588034874214914)	(32.0, 0.17476269966760818)	(33.0, 0.24966099952515455)	(34.0, 0.32358023663946506)	(35.0, 0.3984785364970114)	(36.0, 0.47043964812485006)	(37.0, 0.5658982655903503)	(38.0, 0.7000298614136687)	(39.0, 0.8219231729465383)	(40.0, 0.9746569608913387)	(41.0, 1.1910298271464728)	(42.0, 1.433347856097358)	(43.0, 1.6585322870416153)	(44.0, 1.9003607846208823)	(45.0, 2.258697748645222)	(46.0, 2.6160556499263254)	(47.0, 3.030688721686729)	(48.0, 3.5789638578988336)	(49.0, 4.126259931367702)	(50.0, 4.624602867674775)	(51.0, 5.049516098239155)	(52.0, 5.446036509249695)	(53.0, 5.804373473274035)	(54.0, 6.0241730591304945)	(55.0, 6.093686513900243)	(56.0, 5.951722416131037)	(57.0, 5.643807183383347)	(58.0, 5.214977701846022)	(59.0, 4.628519118647718)	(60.0, 4.077796325577525)	(61.0, 3.4707774247712666)	(62.0, 2.810399604458652)	(63.0, 2.201422578165922)	(64.0, 1.6923099516832536)	(65.0, 1.2585851564297499)	(66.0, 0.8811564689123104)	(67.0, 0.6256210929277403)	(68.0, 0.4444944854290987)	(69.0, 0.30595710726121883)	(70.0, 0.19189629767423644)	(71.0, 0.11259221547212854)	(72.0, 0.06706579791165918)	(73.0, 0.03720438424296421)	(74.0, 0.026924225438987256)	(75.0, 0.023007974466043656)	(76.0, 0.011748752918830804)	(77.0, 0.003426719601325651)	(78.0, 0.006363907831033353)	(79.0, 0.008811564689123103)	(80.0, 0.005874376459415402)	(81.0, 0.004895313716179501)	(82.0, 0.003426719601325651)	(83.0, 0.003426719601325651)	(84.0, 0.002937188229707701)	(85.0, 0.003426719601325651)	(86.0, 0.003426719601325651)	(87.0, 0.002937188229707701)	(88.0, 0.0024476568580897506)	(89.0, 0.0019581254864718006)	(90.0, 0.0014685941148538505)	(91.0, 0.0004895313716179501)	(92.0, 0.0019581254864718006)	(93.0, 0.002937188229707701)	(94.0, 0.003426719601325651)	(95.0, 0.003916250972943601)	(96.0, 0.002937188229707701)	(97.0, 0.0019581254864718006)	(98.0, 0.0014685941148538505)	(99.0, 0.0014685941148538505)	(100.0, 0.016154535263392354)
