Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR10445546_1	(1, 31.08299)	(2, 31.28642)	(3, 31.39328)	(4, 31.49948)	(5, 31.52001)	(6, 35.03618)	(7, 35.01931)	(8, 34.95926)	(9, 35.05565)	(10, 35.003648000000005)	(15, 34.948755999999996)	(20, 34.903292)	(25, 34.79871)	(30, 34.755686)	(35, 34.736561966434955)	(40, 34.638027545138264)	(45, 34.57660236215282)	(50, 34.462626460824005)	(55, 34.33137554300252)	(60, 34.201567445701585)	(65, 34.06379459258237)	(70, 34.01523715859472)	(75, 33.97529054583591)	(80, 33.89569915514541)	(85, 33.83332217935108)	(90, 33.75385032701602)	(95, 33.693008682615364)	(100, 33.62243074728302)	(105, 33.48258215799014)	(110, 33.346905742247806)	(115, 33.18974364124221)	(120, 32.84046896257599)	(125, 32.54128742975695)	(130, 32.25752719489035)	(135, 31.694325233371654)	(140, 31.52724756770626)	(145, 31.51891498672628)	(150, 28.848719790693046)
ERR10445546_2	(1, 31.44861)	(2, 31.25098)	(3, 31.29568)	(4, 31.35083)	(5, 31.30674)	(6, 34.95151)	(7, 34.95992)	(8, 34.86391)	(9, 34.98459)	(10, 34.91738)	(15, 34.835398000000005)	(20, 34.771972)	(25, 34.726836000000006)	(30, 34.69808)	(35, 34.61039648348643)	(40, 34.51572067913402)	(45, 34.42468289230579)	(50, 34.292082927086675)	(55, 34.183145818987484)	(60, 34.083016334247276)	(65, 34.0275206453782)	(70, 33.989279492415356)	(75, 33.94003658006515)	(80, 33.81988832551094)	(85, 33.76158472009453)	(90, 33.697718951353544)	(95, 33.61832629271293)	(100, 33.46955753980988)	(105, 33.346729703651604)	(110, 33.149811764000546)	(115, 32.82342017774194)	(120, 32.416009514730575)	(125, 32.07995401112359)	(130, 31.509174351640674)	(135, 31.34078148384345)	(140, 31.303907347747195)	(145, 31.22261517852449)	(150, 28.49765667183892)
ERR10445547_1	(1, 31.11267)	(2, 31.24636)	(3, 31.38866)	(4, 31.48765)	(5, 31.51198)	(6, 35.02555)	(7, 35.04982)	(8, 34.98909)	(9, 35.09845)	(10, 35.048126)	(15, 34.985154)	(20, 34.933036)	(25, 34.83609)	(30, 34.77556599999999)	(35, 34.75780631230973)	(40, 34.657117185492595)	(45, 34.580667405243034)	(50, 34.45891799806482)	(55, 34.34205389883325)	(60, 34.22104924966715)	(65, 34.112128981834715)	(70, 34.05002570487129)	(75, 34.00935217723444)	(80, 33.957800846003856)	(85, 33.891464846571544)	(90, 33.807100636894184)	(95, 33.740446503330574)	(100, 33.68627692156723)	(105, 33.53969214495608)	(110, 33.412694683792175)	(115, 33.23664319487323)	(120, 32.92366574531342)	(125, 32.6177038534259)	(130, 32.32159369118581)	(135, 31.801930329194583)	(140, 31.62919803563762)	(145, 31.626303573501684)	(150, 28.939207424844884)
ERR10445547_2	(1, 31.44872)	(2, 31.26432)	(3, 31.28861)	(4, 31.36761)	(5, 31.31289)	(6, 34.9502)	(7, 34.96569)	(8, 34.89875)	(9, 35.03384)	(10, 34.93497)	(15, 34.860142)	(20, 34.81626)	(25, 34.75938)	(30, 34.716164)	(35, 34.63987352473956)	(40, 34.543092596062195)	(45, 34.437955270114394)	(50, 34.32913703089594)	(55, 34.20771653787846)	(60, 34.09414824054973)	(65, 34.05448157308985)	(70, 34.02529764896015)	(75, 33.96410399879183)	(80, 33.85936846666775)	(85, 33.81681839300573)	(90, 33.72794685376559)	(95, 33.65191376152218)	(100, 33.49002118241436)	(105, 33.381516541718455)	(110, 33.200904238656115)	(115, 32.87370642616942)	(120, 32.4431821021828)	(125, 32.143989680839375)	(130, 31.569497738850476)	(135, 31.434038529661894)	(140, 31.365002909384792)	(145, 31.277575285717127)	(150, 28.590188347736117)
ERR10445548_1	(1, 31.07603)	(2, 31.18593)	(3, 31.31658)	(4, 31.45775)	(5, 31.46912)	(6, 34.96285)	(7, 34.95472)	(8, 34.86081)	(9, 35.00573)	(10, 34.921817999999995)	(15, 34.854804)	(20, 34.805342)	(25, 34.689108)	(30, 34.63577599999999)	(35, 34.60487218295873)	(40, 34.49176690635802)	(45, 34.38821115254249)	(50, 34.23628612136198)	(55, 34.12848567556119)	(60, 33.996247158917384)	(65, 33.89806311515294)	(70, 33.84620441354982)	(75, 33.80921642141846)	(80, 33.72017484136647)	(85, 33.66417504711978)	(90, 33.5760697093839)	(95, 33.51903912838204)	(100, 33.42447815531087)	(105, 33.269130004596704)	(110, 33.117236903024)	(115, 32.91863663065704)	(120, 32.557473116825506)	(125, 32.20955459905947)	(130, 31.94422318579704)	(135, 31.47295010438893)	(140, 31.311595303064628)	(145, 31.299919849324898)	(150, 28.63816457175902)
ERR10445548_2	(1, 31.31244)	(2, 31.08458)	(3, 31.12648)	(4, 31.19571)	(5, 31.14769)	(6, 34.74009)	(7, 34.73026)	(8, 34.65218)	(9, 34.77547)	(10, 34.69097)	(15, 34.601034)	(20, 34.536516)	(25, 34.488534)	(30, 34.426835999999994)	(35, 34.33084760226217)	(40, 34.22199157919631)	(45, 34.11688854924641)	(50, 34.000581849338076)	(55, 33.85275600587467)	(60, 33.75182980695304)	(65, 33.69438479880648)	(70, 33.64917394541442)	(75, 33.587094039737536)	(80, 33.47674140881098)	(85, 33.42644660073339)	(90, 33.32739258679103)	(95, 33.24478192636963)	(100, 33.06999940943974)	(105, 32.95279240260034)	(110, 32.68507707294182)	(115, 32.385785994927105)	(120, 31.917228807706074)	(125, 31.567395326238103)	(130, 31.02873836316895)	(135, 30.92957269299822)	(140, 30.881823792627863)	(145, 30.81847416421835)	(150, 28.11823052728672)
ERR10445549_1	(1, 31.07505)	(2, 31.26397)	(3, 31.36848)	(4, 31.50142)	(5, 31.51401)	(6, 35.01498)	(7, 35.02119)	(8, 34.96259)	(9, 35.01925)	(10, 34.99747)	(15, 34.94760599999999)	(20, 34.904492000000005)	(25, 34.804041999999995)	(30, 34.762271999999996)	(35, 34.72444964586578)	(40, 34.62328330881591)	(45, 34.5676554742981)	(50, 34.452954105165006)	(55, 34.33006945051436)	(60, 34.201760864601866)	(65, 34.091708807497454)	(70, 34.03452815962977)	(75, 33.98445027504802)	(80, 33.908573673359406)	(85, 33.85738954622176)	(90, 33.773738567088955)	(95, 33.70566071748562)	(100, 33.63616864724342)	(105, 33.50367712876155)	(110, 33.37794954384229)	(115, 33.22652392385001)	(120, 32.901150511764705)	(125, 32.60009948823921)	(130, 32.301555274089175)	(135, 31.78237161949006)	(140, 31.607351413154184)	(145, 31.612484115316164)	(150, 28.95197439974127)
ERR10445549_2	(1, 31.41779)	(2, 31.21711)	(3, 31.25341)	(4, 31.31729)	(5, 31.29563)	(6, 34.92346)	(7, 34.90304)	(8, 34.84962)	(9, 34.97401)	(10, 34.894662)	(15, 34.800974)	(20, 34.746774)	(25, 34.686756)	(30, 34.64256600000001)	(35, 34.58453616564701)	(40, 34.47895667874879)	(45, 34.38880453163445)	(50, 34.26131321450688)	(55, 34.14183499990294)	(60, 34.04072559812212)	(65, 33.98618796115963)	(70, 33.96405907552691)	(75, 33.89134863202568)	(80, 33.79643643816529)	(85, 33.737452550509886)	(90, 33.65549905504126)	(95, 33.57337292795478)	(100, 33.41736607656787)	(105, 33.29551976894679)	(110, 33.09877564566069)	(115, 32.79063873853727)	(120, 32.35975927368348)	(125, 32.03504617797489)	(130, 31.469884958013512)	(135, 31.331758977752788)	(140, 31.265319724822085)	(145, 31.183335738234614)	(150, 28.455394595056777)
